xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.600     0.000   0.127293   0.000985   0.006658   0.007643   0.000000  -0.000000  -0.032513   0.000000   0.000000   50.0000     0.0598
    1.700     0.000   0.135235   0.001113   0.006659   0.007772   0.000000  -0.000000  -0.034546   0.000000   0.000000   50.0000     0.0598
    1.800     0.000   0.143195   0.001249   0.006660   0.007909   0.000000  -0.000000  -0.036587   0.000000   0.000000   50.0000     0.0598
    1.900     0.000   0.151165   0.001392   0.006661   0.008054   0.000000  -0.000000  -0.038633   0.000000   0.000000   50.0000     0.0598
    2.000     0.000   0.159130   0.001544   0.006665   0.008209   0.000000  -0.000000  -0.040677   0.000000   0.000000   50.0000     0.0598
    2.100     0.000   0.167041   0.001703   0.006668   0.008371   0.000000  -0.000000  -0.042692   0.000000   0.000000   50.0000     0.0598
    2.200     0.000   0.174912   0.001869   0.006672   0.008540   0.000000  -0.000000  -0.044687   0.000000   0.000000   50.0000     0.0598
    2.300     0.000   0.182742   0.002041   0.006677   0.008718   0.000000  -0.000000  -0.046661   0.000000   0.000000   50.0000     0.0597
    2.400     0.000   0.190520   0.002220   0.006685   0.008906   0.000000  -0.000000  -0.048608   0.000000   0.000000   50.0000     0.0597
    2.500     0.000   0.198327   0.002407   0.006691   0.009098   0.000000  -0.000000  -0.050567   0.000000   0.000000   50.0000     0.0596
    2.600     0.000   0.206187   0.002603   0.006692   0.009295   0.000000  -0.000000  -0.052551   0.000000  -0.000000   50.0000     0.0596
    2.700     0.000   0.214073   0.002807   0.006691   0.009498   0.000000  -0.000000  -0.054548   0.000000   0.000000   50.0000     0.0596
    2.800     0.000   0.221943   0.003018   0.006693   0.009711   0.000000   0.000000  -0.056537   0.000000   0.000000   50.0000     0.0596
    2.900     0.000   0.229811   0.003237   0.006697   0.009934   0.000000  -0.000000  -0.058524   0.000000   0.000000   50.0000     0.0596
    3.000     0.000   0.237641   0.003463   0.006708   0.010171   0.000000  -0.000000  -0.060494   0.000000   0.000000   50.0000     0.0595
    3.100     0.000   0.245439   0.003695   0.006718   0.010414   0.000000  -0.000000  -0.062447   0.000000   0.000000   50.0000     0.0595
    3.200     0.000   0.253236   0.003935   0.006725   0.010661   0.000000  -0.000000  -0.064399   0.000000   0.000000   50.0000     0.0594
    3.300     0.000   0.261027   0.004183   0.006730   0.010912   0.000000  -0.000000  -0.066346   0.000000   0.000000   50.0000     0.0594
    3.400     0.000   0.268804   0.004437   0.006731   0.011168   0.000000  -0.000000  -0.068286   0.000000   0.000000   50.0000     0.0594
    3.500     0.000   0.276543   0.004698   0.006738   0.011436   0.000000  -0.000000  -0.070206   0.000000   0.000000   50.0000     0.0593
    3.600     0.000   0.284265   0.004966   0.006751   0.011716   0.000000  -0.000000  -0.072120   0.000000  -0.000000   50.0000     0.0593
    3.700     0.000   0.292029   0.005242   0.006762   0.012004   0.000000  -0.000000  -0.074054   0.000000   0.000000   50.0000     0.0592
    3.800     0.000   0.299863   0.005527   0.006771   0.012299   0.000000  -0.000000  -0.076024   0.000000   0.000000   50.0000     0.0592
    3.900     0.000   0.307744   0.005822   0.006780   0.012602   0.000000  -0.000000  -0.078017   0.000000   0.000000   50.0000     0.0592
    4.000     0.000   0.315617   0.006125   0.006790   0.012914   0.000000  -0.000000  -0.080008   0.000000   0.000000   50.0000     0.0592
    4.100     0.000   0.323453   0.006434   0.006800   0.013234   0.000000  -0.000000  -0.081982   0.000000   0.000000   50.0000     0.0592
    4.200     0.000   0.331210   0.006748   0.006814   0.013561   0.000000  -0.000000  -0.083917   0.000000   0.000000   50.0000     0.0592
    4.300     0.000   0.338964   0.007066   0.006826   0.013893   0.000000   0.000000  -0.085838   0.000000   0.000000   50.0000     0.0591
    4.400     0.000   0.346715   0.007397   0.006833   0.014231   0.000000  -0.000000  -0.087774   0.000000   0.000000   50.0000     0.0591
    4.500     0.000   0.354490   0.007735   0.006841   0.014576   0.000000  -0.000000  -0.089715   0.000000   0.000000   50.0000     0.0591
    4.600     0.000   0.362239   0.008078   0.006854   0.014932   0.000000  -0.000000  -0.091641   0.000000  -0.000000   50.0000     0.0590
    4.700     0.000   0.369980   0.008425   0.006874   0.015299   0.000000  -0.000000  -0.093555   0.000000  -0.000000   50.0000     0.0590
    4.800     0.000   0.377666   0.008784   0.006893   0.015677   0.000000  -0.000000  -0.095462   0.000000   0.000000   50.0000     0.0590
    4.900     0.000   0.385459   0.009151   0.006909   0.016060   0.000000  -0.000000  -0.097412   0.000000   0.000000   50.0000     0.0589
    5.000     0.000   0.393202   0.009523   0.006929   0.016453   0.000000  -0.000000  -0.099339   0.000000  -0.000000   50.0000     0.0589
    5.100     0.000   0.400895   0.009902   0.006950   0.016852   0.000000  -0.000000  -0.101243   0.000000   0.000000   50.0000     0.0589
    5.200     0.000   0.408541   0.010286   0.006971   0.017257   0.000000  -0.000000  -0.103123   0.000000  -0.000000   50.0000     0.0588
    5.300     0.000   0.416209   0.010678   0.006989   0.017667   0.000000  -0.000000  -0.105012   0.000000   0.000000   50.0000     0.0588
    5.400     0.000   0.423756   0.011072   0.007018   0.018090   0.000000  -0.000000  -0.106843   0.000000   0.000000   50.0000     0.0588
    5.500     0.000   0.431328   0.011473   0.007047   0.018520   0.000000  -0.000000  -0.108685   0.000000   0.000000   50.0000     0.0587
