xflr5 v6.58

Plane name :        Windtunnel 3D
Polar name :        T1-50.0 m/s-LLT
Free-stream speed :  50.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   17.100     0.000   1.073212   0.075154   0.035130   0.110284   0.000000  -0.000000  -0.241103   0.000000   0.000000   50.0000     0.0495
   17.200     0.000   1.075070   0.075529   0.035859   0.111388   0.000000  -0.000000  -0.241472  -0.000000  -0.000000   50.0000     0.0494
   17.300     0.000   1.076935   0.075912   0.036593   0.112505   0.000000  -0.000000  -0.241873  -0.000000  -0.000000   50.0000     0.0494
   17.400     0.000   1.078692   0.076288   0.037351   0.113639   0.000000  -0.000000  -0.242278   0.000000  -0.000000   50.0000     0.0493
   17.500     0.000   1.080380   0.076658   0.038127   0.114785   0.000000  -0.000000  -0.242685  -0.000000  -0.000000   50.0000     0.0493
   17.600     0.000   1.081959   0.077018   0.038929   0.115947   0.000000  -0.000000  -0.243089  -0.000000  -0.000000   50.0000     0.0493
   17.700     0.000   1.083359   0.077362   0.039767   0.117129   0.000000  -0.000000  -0.243478   0.000000  -0.000000   50.0000     0.0492
   17.800     0.000   1.084718   0.077699   0.040622   0.118321   0.000000  -0.000000  -0.243873  -0.000000  -0.000000   50.0000     0.0492
   17.900     0.000   1.085849   0.078016   0.041520   0.119535   0.000000  -0.000000  -0.244241  -0.000000  -0.000000   50.0000     0.0492
   18.000     0.000   1.086874   0.078321   0.042442   0.120763   0.000000  -0.000000  -0.244603  -0.000000  -0.000000   50.0000     0.0492
   18.100     0.000   1.087753   0.078612   0.043397   0.122009   0.000000  -0.000000  -0.244953  -0.000000  -0.000000   50.0000     0.0492
   18.200     0.000   1.088384   0.078884   0.044403   0.123286   0.000000  -0.000000  -0.245278  -0.000000  -0.000000   50.0000     0.0492
   18.300     0.000   1.088939   0.079144   0.045436   0.124580   0.000000  -0.000000  -0.245605  -0.000000  -0.000000   50.0000     0.0491
   18.400     0.000   1.089160   0.079372   0.046531   0.125902   0.000000  -0.000000  -0.245878  -0.000000  -0.000000   50.0000     0.0492
   18.500     0.000   1.089185   0.079579   0.047673   0.127252   0.000000  -0.000000  -0.246138  -0.000000  -0.000000   50.0000     0.0492
   18.600     0.000   1.088965   0.079759   0.048873   0.128632   0.000000  -0.000000  -0.246364   0.000000   0.000000   50.0000     0.0492
   18.700     0.000   1.088380   0.079887   0.050131   0.130019   0.000000  -0.000000  -0.246497   0.000000   0.000000   50.0000     0.0492
   18.800     0.000   1.041422   0.080834   0.072678   0.153511   0.000000  -0.000000  -0.251440   0.000000   0.000000   50.0000     0.0530
   18.900     0.000   1.043200   0.081118   0.073496   0.154614   0.000000   0.000000  -0.251898   0.000000   0.000000   50.0000     0.0530
   19.000     0.000   1.044708   0.081385   0.074385   0.155770   0.000000  -0.000000  -0.252352   0.000000   0.000000   50.0000     0.0529
   19.100     0.000   1.045818   0.081602   0.075376   0.156978   0.000000  -0.000000  -0.252786   0.000000   0.000000   50.0000     0.0529
   19.200     0.000   1.045291   0.081636   0.076743   0.158379   0.000000  -0.000000  -0.253076   0.000000   0.000000   50.0000     0.0530
   19.300     0.000   0.986994   0.078772   0.100243   0.179016   0.000000   0.000000  -0.255491   0.000000   0.000000   50.0000     0.0571
   19.400     0.000   0.990177   0.079155   0.100884   0.180039   0.000000   0.000000  -0.256228   0.000000  -0.000000   50.0000     0.0570
   19.500     0.000   0.993089   0.079570   0.101559   0.181129   0.000000   0.000000  -0.256907   0.000000  -0.000000   50.0000     0.0570
   19.600     0.000   0.995857   0.079982   0.102278   0.182260   0.000000  -0.000000  -0.257558   0.000000   0.000000   50.0000     0.0569
   19.700     0.000   0.998798   0.080396   0.103019   0.183415   0.000000   0.000000  -0.258304   0.000000   0.000000   50.0000     0.0569
   19.800     0.000   1.001859   0.080841   0.103775   0.184616   0.000000   0.000000  -0.259145   0.000000  -0.000000   50.0000     0.0569
   19.900     0.000   1.004877   0.081298   0.104545   0.185843   0.000000   0.000000  -0.260012   0.000000  -0.000000   50.0000     0.0568
   20.000     0.000   1.007816   0.081739   0.105327   0.187067   0.000000   0.000000  -0.260862   0.000000  -0.000000   50.0000     0.0568
   20.100     0.000   1.010679   0.082166   0.106121   0.188286   0.000000   0.000000  -0.261692   0.000000  -0.000000   50.0000     0.0568
   20.200     0.000   1.013433   0.082567   0.106933   0.189500   0.000000   0.000000  -0.262497   0.000000   0.000000   50.0000     0.0568
   20.300     0.000   1.016156   0.082970   0.107750   0.190720   0.000000   0.000000  -0.263307   0.000000  -0.000000   50.0000     0.0568
   20.400     0.000   1.018870   0.083377   0.108571   0.191948   0.000000   0.000000  -0.264134   0.000000  -0.000000   50.0000     0.0568
   20.500     0.000   1.021506   0.083779   0.109402   0.193181   0.000000   0.000000  -0.264959   0.000000  -0.000000   50.0000     0.0568
   20.600     0.000   1.024085   0.084169   0.110246   0.194414   0.000000   0.000000  -0.265777   0.000000  -0.000000   50.0000     0.0568
   20.700     0.000   1.026463   0.084535   0.111111   0.195645   0.000000   0.000000  -0.266555   0.000000  -0.000000   50.0000     0.0567
   20.800     0.000   1.028778   0.084883   0.111992   0.196876   0.000000   0.000000  -0.267325   0.000000  -0.000000   50.0000     0.0567
   20.900     0.000   1.030984   0.085209   0.112901   0.198109   0.000000   0.000000  -0.268084   0.000000   0.000000   50.0000     0.0567
   21.000     0.000   1.033050   0.085509   0.113839   0.199348   0.000000   0.000000  -0.268823   0.000000   0.000000   50.0000     0.0567


